dataset,image_id,mean_r,mean_g,mean_b,std_r,std_g,std_b,mean_h,mean_s,mean_v,edge_density,grad_energy,spec_ratio,category
CVC-300,149,0.4421485,0.30322936,0.2411909,0.32065067,0.23338166,0.1885445,0.10268259,0.45008543,0.4425436,0.019703833,0.012159431,0.006404181,5_benchmark
CVC-300,154,0.34096432,0.24993445,0.20061588,0.30414143,0.22856706,0.18803217,0.111098856,0.42531168,0.34292132,0.024536585,0.017040428,0.009850174,5_benchmark
CVC-300,185,0.47620192,0.29016006,0.23978585,0.2809276,0.18656503,0.15548085,0.08232961,0.5438028,0.47712576,0.008365854,0.0086201355,0.00020905923,5_benchmark
CVC-300,194,0.49803376,0.32669073,0.26964897,0.31566933,0.22844146,0.1929379,0.09236981,0.51779044,0.49901056,0.008895471,0.009641572,0.0012125436,5_benchmark
CVC-300,162,0.42822737,0.29307356,0.24102461,0.30925587,0.24408337,0.20640323,0.08542765,0.48638,0.42872787,0.008686411,0.009614296,0.012390244,5_benchmark
CVC-300,203,0.5000066,0.3240746,0.26932794,0.29975918,0.22685969,0.19484362,0.08724788,0.5309957,0.5011365,0.007961673,0.008490982,0.015142857,5_benchmark
CVC-300,182,0.4385863,0.29127362,0.24201693,0.28204557,0.20382446,0.17044866,0.10779804,0.50600994,0.4393799,0.0072543556,0.008036684,0.0004912892,5_benchmark
CVC-300,197,0.455757,0.2997926,0.24873732,0.30182204,0.21977605,0.18806103,0.094101205,0.5072929,0.45649424,0.0075261323,0.009532812,0.011752613,5_benchmark
CVC-300,161,0.4349182,0.29297376,0.23920915,0.31131035,0.24352348,0.20642132,0.08405529,0.49407905,0.43553174,0.008442509,0.009431445,0.022442508,5_benchmark
CVC-300,206,0.43787262,0.270807,0.11987681,0.29641122,0.20193887,0.09953907,0.13278268,0.7460377,0.43917856,0.014672474,0.010302715,0.001630662,5_benchmark
CVC-300,195,0.50864315,0.33184817,0.27387872,0.29929608,0.22166972,0.1893902,0.08632255,0.5215897,0.50954425,0.007926829,0.009637058,0.006,5_benchmark
CVC-300,199,0.58220685,0.39334866,0.32317063,0.34129077,0.25815985,0.2174479,0.08968001,0.51964295,0.5832058,0.008895471,0.010343999,0.0010627178,5_benchmark
CVC-300,180,0.4604391,0.3008233,0.24835406,0.30383715,0.22104664,0.18596493,0.09123799,0.509389,0.4613507,0.007358885,0.008371514,0.010557491,5_benchmark
CVC-300,152,0.4047901,0.28296944,0.22579838,0.34863847,0.24404433,0.19813669,0.10298261,0.42834535,0.4062715,0.02143554,0.014169953,0.0044390243,5_benchmark
CVC-300,201,0.5891184,0.37267488,0.30890933,0.32215327,0.22288898,0.18951638,0.08502029,0.5481316,0.590298,0.009940767,0.01015211,0.0005052265,5_benchmark
CVC-300,166,0.42758328,0.30125955,0.24557102,0.29809988,0.23929085,0.19519718,0.12944683,0.49718678,0.42944828,0.009825784,0.010133696,0.010825784,5_benchmark
CVC-300,157,0.50100106,0.32486764,0.2708745,0.30943018,0.22970554,0.19454065,0.089728676,0.5108635,0.5025958,0.011616725,0.01185558,0.0016933798,5_benchmark
CVC-300,155,0.47343385,0.33958954,0.27693322,0.34927756,0.26471582,0.22846915,0.11141624,0.4272135,0.47548488,0.022961672,0.015352541,0.024247387,5_benchmark
